Center,Tile1,Distance1,Tile2,Distance2,Tile3,Distance3,Tile4,Distance4,Tile5,Distance5,Tile6,Distance6,Tile7,Distance7,Tile8,Distance8
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,1824.8195762411926,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,2701.589323967082,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h140-i001.reference.tif,2893.095871297301,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3076.770147500295,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3366.21323501254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3806.8264747041485,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,1546.5239332064261,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,1824.8195762411926,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,2731.3325603535254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,2811.8276017564713,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,3490.9217566847396,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,3494.2346336237797,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3584.732778590481,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3667.7373817659745
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,1185.3746197195233,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,1546.5239332064261,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,2794.4188043119657,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,2972.531119042379,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,3185.542438472482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3292.749589203987,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,3366.21323501254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3651.425804177788
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,1185.3746197195233,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,1609.2804251530322,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,2731.3325603535254,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,2868.457603416601,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,3126.7745075372127,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,3299.143855547395,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h29-i001.reference.tif,3367.283396302175,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,3656.9234396282764
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,1609.2804251530322,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h29-i001.reference.tif,1763.1333640669575,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,2738.80963850931,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,2794.4188043119657,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,3142.8301785787144,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h30-i001.reference.tif,3345.0566202333725,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h134-i001.reference.tif,3592.6451013179603,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,3646.7124282899995
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,1667.1416888927681,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h158-i001.reference.tif,3134.9397003043673,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,3467.0696505988394,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3502.9352724173255,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3584.732778590481,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,3806.8264747041485,None,9223372036854775807,None,9223372036854775807
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,1667.1416888927681,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,1800.0072021802125,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3023.503767578129,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,3439.703695289073,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h158-i001.reference.tif,3492.6755453827295,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3493.038385964932,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3651.425804177788,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3667.7373817659745
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,1641.3278422735577,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,1800.0072021802125,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h101-i001.reference.tif,3030.3665462197264,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3189.6704437595063,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h155-i001.reference.tif,3440.5314021221197,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3443.3933476447937,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3467.0696505988394,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,3656.9234396282764
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h101-i001.reference.tif,1396.3381972818895,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,1641.3278422735577,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h102-i001.reference.tif,3013.568146987155,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h155-i001.reference.tif,3176.625633064605,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3439.703695289073,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h154-i001.reference.tif,3481.8769932264977,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,3646.7124282899995,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3822.7151540645655
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,1211.175203946367,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,1568.675490078107,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,2868.457603416601,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h134-i001.reference.tif,3050.8267549952125,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,3142.8301785787144,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3185.542438472482,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3241.1012064414695,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h93-i001.reference.tif,3327.5124910904756
