Center,Tile1,PtDistance1,GCPDistance1,Tile2,PtDistance2,GCPDistance2,Tile3,PtDistance3,GCPDistance3,Tile4,PtDistance4,GCPDistance4,Tile5,PtDistance5,GCPDistance5,Tile6,PtDistance6,GCPDistance6,Tile7,PtDistance7,GCPDistance7,Tile8,PtDistance8,GCPDistance8
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,1824.8195762411929,29.409322932034545,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,2701.589323967082,37.19609775300215,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h140-i001.reference.tif,2893.095871297301,56.97163548720368,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3076.770147500295,39.54040790619815,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3366.21323501254,49.73062727873793,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3806.826474704149,3662.5608173261453,None,-1,-1,None,-1,-1
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,1546.523933206426,24.547725835680097,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,1824.8195762411929,30.1087209988876,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,2731.3325603535254,54.13198342397531,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,2811.8276017564717,55.6614661900229,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h139-i001.reference.tif,3490.92175668474,55.981620586113415,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,3494.23463362378,46.79781261188158,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3584.732778590481,34.03243858203933,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3667.737381765975,52.26157077817234
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,1185.3746197195233,30.11039272628693,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,1546.523933206426,24.241344794816218,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,2794.4188043119657,38.2059390497407,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,2972.531119042379,46.04115966014163,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,3185.542438472482,46.8099294497498,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3292.749589203987,60.23336606482701,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,3366.21323501254,47.9812302226703,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3651.425804177788,47.077148076918675
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,1185.3746197195233,29.39084037882926,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,1609.2804251530322,44.96746708289565,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,2731.3325603535254,53.80252299685335,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,2868.457603416601,61.49345624949656,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,3126.7745075372127,63.20208785003346,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,3299.143855547395,58.123690293770096,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h29-i001.reference.tif,3367.283396302175,46.643532034147036,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,3656.923439628277,72.3977396718287
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,1609.2804251530322,44.071302816246956,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h29-i001.reference.tif,1763.1333640669577,73.79207856044083,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,2738.80963850931,13.30392340663378,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,2794.4188043119657,37.92890818132038,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,3142.8301785787144,12.59970527522697,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h30-i001.reference.tif,3345.0566202333725,96.68811097583185,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h134-i001.reference.tif,3592.6451013179603,29.45627417137079,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,3646.71242829,56.074490043473446
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,1667.141688892768,38.52524959358447,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h158-i001.reference.tif,3134.9397003043678,21.226340908700568,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,3467.0696505988394,82.5209666093593,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3502.935272417325,20.20163740459608,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3584.732778590481,35.418344961509796,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h24-i001.reference.tif,3806.826474704149,4074.776324495529,None,-1,-1,None,-1,-1
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,1667.141688892768,38.20193928469294,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,1800.0072021802123,47.92336629160337,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3023.503767578129,40.93433710904573,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,3439.703695289073,42.85479976883937,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h158-i001.reference.tif,3492.675545382729,39.09413741430195,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3493.038385964932,39.46080409790618,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3651.425804177788,52.409175310335584,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h25-i001.reference.tif,3667.737381765975,3544.931353305358
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,1641.3278422735575,25.305012041810897,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,1800.0072021802123,47.73681262355677,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h101-i001.reference.tif,3030.3665462197264,75.85459254160016,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3189.6704437595063,74.90161057564526,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h155-i001.reference.tif,3440.53140212212,48.103551225658464,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h157-i001.reference.tif,3443.3933476447937,3475.9908766613385,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h97-i001.reference.tif,3467.0696505988394,82.25012629498264,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,3656.923439628277,72.6704849469678
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h100-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h101-i001.reference.tif,1396.3381972818895,56.84976879513825,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h99-i001.reference.tif,1641.3278422735575,24.849842820735834,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h102-i001.reference.tif,3013.568146987155,81.15129087288476,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h155-i001.reference.tif,3176.625633064605,39.13929181084014,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h98-i001.reference.tif,3439.703695289073,43.51648100857818,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h154-i001.reference.tif,3481.8769932264977,26.106194862941187,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,3646.71242829,53.60028039550016,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h156-i001.reference.tif,3822.7151540645655,48.45975440439494
D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h136-i001.reference.tif,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h137-i001.reference.tif,1211.175203946367,15.0195027468642,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h135-i001.reference.tif,1568.675490078107,15.279598498734652,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h27-i001.reference.tif,2868.457603416601,61.143514899698076,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h134-i001.reference.tif,3050.8267549952125,32.75330809279575,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h28-i001.reference.tif,3142.8301785787144,12.494669669819048,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni5h26-i001.reference.tif,3185.542438472482,49.38785682389172,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h138-i001.reference.tif,3241.101206441469,27.12690146299688,D:\MacConnell\Photos_Georeferenced_Samples\mufs190-1952-cni6h93-i001.reference.tif,3327.512491090476,18.08391737598723
