Source,Target,PtDistance,GCPDistance,Difference,Source Annotated,Target Annotated
mufs190-1951-dpb1h23-i001.reference.tif,mufs190-1952-dpb4h110-i001.reference.tif,3238.102867,5.524661292,17.55707442,0,0
mufs190-1952-cni5h105-i001.reference.tif,mufs190-1952-cni5h149-i001.reference.tif,3196.25421,5.622693831,34.16945223,2,0
mufs190-1951-cni1h15-i001.reference.tif,mufs190-1951-cni1h16-i001.reference.tif,1213.21121,5.92341891,3.342778289,0,0
mufs190-1952-cni5h106-i001.reference.tif,mufs190-1952-cni5h149-i001.reference.tif,2962.746984,6.080527508,24.21584024,0,0
mufs190-1952-cni5h106-i001.reference.tif,mufs190-1952-cni5h105-i001.reference.tif,1676.797638,6.107160895,99.649705,0,2
mufs190-1951-cni1h16-i001.reference.tif,mufs190-1951-cni1h15-i001.reference.tif,1213.21121,6.128273507,-1,0,0
mufs190-1952-cni5h148-i001.reference.tif,mufs190-1952-cni5h149-i001.reference.tif,1809.29147,6.268841103,0.023804853,2,0
mufs190-1952-cni5h149-i001.reference.tif,mufs190-1952-cni5h148-i001.reference.tif,1809.29147,6.270333747,-1,0,2
mufs190-1952-dpb4h110-i001.reference.tif,mufs190-1951-dpb1h23-i001.reference.tif,3238.102867,6.701195103,-1,0,0
mufs190-1952-cni6h102-i001.reference.tif,mufs190-1952-cni6h101-i001.reference.tif,1761.483625,7.148599592,3.419735113,0,0
mufs190-1952-cni6h79-i001.reference.tif,mufs190-1952-cni6h78-i001.reference.tif,1407.276258,7.196282237,1.514252149,0,2
mufs190-1952-cni6h99-i001.reference.tif,mufs190-1952-cni6h97-i001.reference.tif,3073.45518,7.253839052,5.025691529,0,0
mufs190-1952-cni6h78-i001.reference.tif,mufs190-1952-cni6h79-i001.reference.tif,1407.276258,7.306927545,-1,2,0
mufs190-1952-cni6h101-i001.reference.tif,mufs190-1952-cni6h102-i001.reference.tif,1761.483625,7.401718767,-1,0,0
mufs190-1952-cni6h97-i001.reference.tif,mufs190-1952-cni6h99-i001.reference.tif,3073.45518,7.637685569,-1,0,0
mufs190-1952-cni5h157-i001.reference.tif,mufs190-1952-cni5h158-i001.reference.tif,1653.225804,7.910607894,23.91938858,0,2
mufs190-1952-cni5h106-i001.reference.tif,mufs190-1952-cni5h104-i001.reference.tif,3235.963084,7.948263439,3.308045208,0,0
mufs190-1952-cni5h149-i001.reference.tif,mufs190-1952-cni5h106-i001.reference.tif,2962.746984,8.023480799,-1,0,0
mufs190-1952-dpb3h156-i001.reference.tif,mufs190-1952-dpb3h155-i001.reference.tif,1905.541656,8.105350459,2.096963524,0,2
mufs190-1952-cni5h104-i001.reference.tif,mufs190-1952-cni5h106-i001.reference.tif,3235.963084,8.220191076,-1,0,0
mufs190-1951-dpn1k18-i001.reference.tif,mufs190-1951-dpn1k49-i001.reference.tif,3436.429129,8.274649107,1.529765057,0,0
mufs190-1952-dpb3h155-i001.reference.tif,mufs190-1952-dpb3h156-i001.reference.tif,1905.541656,8.278957171,-1,2,0
mufs190-1952-cni8h3-i001.reference.tif,mufs190-1952-cni8h2-i001.reference.tif,1524.201682,8.289208849,2.813137975,2,0
mufs190-1951-dpl2k74-i001.reference.tif,mufs190-1951-dpl2k73-i001.reference.tif,1715.693332,8.326763201,6.730485319,2,0
mufs190-1952-cni3h9-i001.reference.tif,mufs190-1952-cni4h41-i001.reference.tif,2400.544238,8.398667585,3.720172059,0,0
mufs190-1951-dpn1k49-i001.reference.tif,mufs190-1951-dpn1k18-i001.reference.tif,3436.429129,8.403198298,-1,0,0
mufs190-1952-cni5h148-i001.reference.tif,mufs190-1952-cni5h150-i001.reference.tif,3175.189022,8.474177286,4.863717801,2,2
mufs190-1952-cni6h95-i001.reference.tif,mufs190-1952-cni6h80-i001.reference.tif,3595.585327,8.497410764,-1,0,2
mufs190-1952-cni8h2-i001.reference.tif,mufs190-1952-cni8h3-i001.reference.tif,1524.201682,8.529145479,-1,0,2
mufs190-1952-cni5h149-i001.reference.tif,mufs190-1952-cni5h105-i001.reference.tif,3196.25421,8.541162153,-1,0,2
