Filename,P1X,P1Y,P2X,P2Y,P3X,P3Y,P4X,P4Y,Current EPSG,Original EPSG
D:\MacConnell\Photos_Satellite\18TXM225560\18TXM225560.jp2,32802.12929,868214.7656,34362.61391,869652.304,32863.60299,869713.7805,34301.1414,868153.2958,26986,6347
D:\MacConnell\Photos_Satellite\18TXM225575\18TXM225575.jp2,32863.60299,869713.7805,34424.09324,871151.3109,32925.08341,871212.7942,34362.61391,869652.304,26986,6347
D:\MacConnell\Photos_Satellite\18TXM225590\18TXM225590.jp2,32925.08341,871212.7942,34485.57938,872650.3168,32986.57058,872711.8069,34424.09324,871151.3109,26986,6347
D:\MacConnell\Photos_Satellite\18TXM225605\18TXM225605.jp2,32986.57058,872711.8069,34547.07235,874149.3218,33048.06448,874210.8186,34485.57938,872650.3168,26986,6347
D:\MacConnell\Photos_Satellite\18TXM225620\18TXM225620.jp2,33048.06448,874210.8186,34608.57214,875648.3258,33109.56512,875709.8294,34547.07235,874149.3218,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240560\18TXM240560.jp2,34301.1414,868153.2958,35861.61802,869590.8286,34362.61391,869652.304,35800.14669,868091.8274,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240575\18TXM240575.jp2,34362.61391,869652.304,35923.09624,871089.8287,34424.09324,871151.3109,35861.61802,869590.8286,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240590\18TXM240590.jp2,34424.09324,871151.3109,35984.58136,872588.8278,34485.57938,872650.3168,35923.09624,871089.8287,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240605\18TXM240605.jp2,34485.57938,872650.3168,36046.07339,874087.8258,34547.07235,874149.3218,35984.58136,872588.8278,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240620\18TXM240620.jp2,34547.07235,874149.3218,36107.57232,875586.823,34608.57214,875648.3258,36046.07339,874087.8258,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240635\18TXM240635.jp2,34608.57214,875648.3258,36169.07817,877085.8194,34670.07877,877147.329,36107.57232,875586.823,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240650\18TXM240650.jp2,34670.07877,877147.329,36230.59094,878584.815,34731.59223,878646.3315,36169.07817,877085.8194,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240665\18TXM240665.jp2,34731.59223,878646.3315,36292.11064,880083.8099,34793.11253,880145.3334,36230.59094,878584.815,26986,6347
D:\MacConnell\Photos_Satellite\18TXM240680\18TXM240680.jp2,34793.11253,880145.3334,36353.63726,881582.8043,34854.63968,881644.3346,36292.11064,880083.8099,26986,6347
D:\MacConnell\Photos_Satellite\18TXM255560\18TXM255560.jp2,35800.14669,868091.8274,37360.61523,869529.3544,35861.61802,869590.8286,37299.1451,868030.3601,26986,6347
D:\MacConnell\Photos_Satellite\18TXM255575\18TXM255575.jp2,35861.61802,869590.8286,37422.09234,871028.3476,35923.09624,871089.8287,37360.61523,869529.3544,26986,6347
D:\MacConnell\Photos_Satellite\18TXM255590\18TXM255590.jp2,35923.09624,871089.8287,37483.57644,872527.3397,35984.58136,872588.8278,37422.09234,871028.3476,26986,6347
D:\MacConnell\Photos_Satellite\18TXM255605\18TXM255605.jp2,35984.58136,872588.8278,37545.06752,874026.3308,36046.07339,874087.8258,37483.57644,872527.3397,26986,6347
D:\MacConnell\Photos_Satellite\18TXM255620\18TXM255620.jp2,36046.07339,874087.8258,37606.56559,875525.321,36107.57232,875586.823,37545.06752,874026.3308,26986,6347
D:\MacConnell\Photos_Satellite\18TXM255635\18TXM255635.jp2,36107.57232,875586.823,37668.07066,877024.3104,36169.07817,877085.8194,37606.56559,875525.321,26986,6347
