MacFile,Tile1,Tile2,Tile3,Tile4,Tile5,Tile6,Tile7,Tile8,Tile9
mufs190-1952-cni5h24-i001-001.tif,18TXM930575\18TXM930575.jp2,18TXM945575\18TXM945575.jp2,18TXM960575\18TXM960575.jp2,18TXM930560\18TXM930560.jp2,18TXM945560\18TXM945560.jp2,18TXM960560\18TXM960560.jp2,None,18TXM945545\18TXM945545.jp2,18TXM960545\18TXM960545.jp2
mufs190-1952-cni5h25-i001-001.tif,18TXM930590\18TXM930590.jp2,18TXM945590\18TXM945590.jp2,18TXM960590\18TXM960590.jp2,18TXM930575\18TXM930575.jp2,18TXM945575\18TXM945575.jp2,18TXM960575\18TXM960575.jp2,18TXM930560\18TXM930560.jp2,18TXM945560\18TXM945560.jp2,18TXM960560\18TXM960560.jp2
mufs190-1952-cni5h26-i001-001.tif,18TXM930605\18TXM930605.jp2,18TXM945605\18TXM945605.jp2,18TXM960605\18TXM960605.jp2,18TXM930590\18TXM930590.jp2,18TXM945590\18TXM945590.jp2,18TXM960590\18TXM960590.jp2,18TXM930575\18TXM930575.jp2,18TXM945575\18TXM945575.jp2,18TXM960575\18TXM960575.jp2
mufs190-1952-cni5h27-i001-001.tif,18TXM930620\18TXM930620.jp2,18TXM945620\18TXM945620.jp2,18TXM960620\18TXM960620.jp2,18TXM930605\18TXM930605.jp2,18TXM945605\18TXM945605.jp2,18TXM960605\18TXM960605.jp2,18TXM930590\18TXM930590.jp2,18TXM945590\18TXM945590.jp2,18TXM960590\18TXM960590.jp2
mufs190-1952-cni5h28-i001-001.tif,18TXM930635\18TXM930635.jp2,18TXM945635\18TXM945635.jp2,18TXM960635\18TXM960635.jp2,18TXM930620\18TXM930620.jp2,18TXM945620\18TXM945620.jp2,18TXM960620\18TXM960620.jp2,18TXM930605\18TXM930605.jp2,18TXM945605\18TXM945605.jp2,18TXM960605\18TXM960605.jp2
mufs190-1952-cni5h97-i001-001.tif,18TXM900575\18TXM900575.jp2,18TXM915575\18TXM915575.jp2,18TXM930575\18TXM930575.jp2,18TXM900560\18TXM900560.jp2,18TXM915560\18TXM915560.jp2,18TXM930560\18TXM930560.jp2,None,None,None
mufs190-1952-cni5h98-i001-001.tif,18TXM900590\18TXM900590.jp2,18TXM915590\18TXM915590.jp2,18TXM930590\18TXM930590.jp2,18TXM900575\18TXM900575.jp2,18TXM915575\18TXM915575.jp2,18TXM930575\18TXM930575.jp2,18TXM900560\18TXM900560.jp2,18TXM915560\18TXM915560.jp2,18TXM930560\18TXM930560.jp2
mufs190-1952-cni5h99-i001-001.tif,18TXM900620\18TXM900620.jp2,18TXM915620\18TXM915620.jp2,18TXM930620\18TXM930620.jp2,18TXM900605\18TXM900605.jp2,18TXM915605\18TXM915605.jp2,18TXM930605\18TXM930605.jp2,18TXM900590\18TXM900590.jp2,18TXM915590\18TXM915590.jp2,18TXM930590\18TXM930590.jp2
mufs190-1952-cni5h100-i001-001.tif,18TXM900635\18TXM900635.jp2,18TXM915635\18TXM915635.jp2,18TXM930635\18TXM930635.jp2,18TXM900620\18TXM900620.jp2,18TXM915620\18TXM915620.jp2,18TXM930620\18TXM930620.jp2,18TXM900605\18TXM900605.jp2,18TXM915605\18TXM915605.jp2,18TXM930605\18TXM930605.jp2
mufs190-1952-cni6h136-i001-001.tif,18TXM960620\18TXM960620.jp2,18TXM975620\18TXM975620.jp2,18TXM990620\18TXM990620.jp2,18TXM960605\18TXM960605.jp2,18TXM975605\18TXM975605.jp2,18TXM990605\18TXM990605.jp2,18TXM960590\18TXM960590.jp2,18TXM975590\18TXM975590.jp2,18TXM990590\18TXM990590.jp2
mufs190-1952-cni6h137-i001-001.tif,18TXM960605\18TXM960605.jp2,18TXM975605\18TXM975605.jp2,18TXM990605\18TXM990605.jp2,18TXM960590\18TXM960590.jp2,18TXM975590\18TXM975590.jp2,18TXM990590\18TXM990590.jp2,18TXM960575\18TXM960575.jp2,18TXM975575\18TXM975575.jp2,18TXM990575\18TXM990575.jp2
mufs190-1952-dpb4h154-i001-001.tif,18TYM050875\18TYM050875.jp2,18TYM065875\18TYM065875.jp2,18TYM080875\18TYM080875.jp2,18TYM050860\18TYM050860.jp2,18TYM065860\18TYM065860.jp2,18TYM080860\18TYM080860.jp2,18TYM050845\18TYM050845.jp2,18TYM065845\18TYM065845.jp2,18TYM080845\18TYM080845.jp2
mufs190-1952-dpb4h155-i001-001.tif,18TYM050905\18TYM050905.jp2,18TYM065905\18TYM065905.jp2,18TYM080905\18TYM080905.jp2,18TYM050890\18TYM050890.jp2,18TYM065890\18TYM065890.jp2,18TYM080890\18TYM080890.jp2,18TYM050875\18TYM050875.jp2,18TYM065875\18TYM065875.jp2,18TYM080875\18TYM080875.jp2
mufs190-1952-dpb4h156-i001-001.tif,18TYM050920\18TYM050920.jp2,18TYM065920\18TYM065920.jp2,18TYM080920\18TYM080920.jp2,18TYM050905\18TYM050905.jp2,18TYM065905\18TYM065905.jp2,18TYM080905\18TYM080905.jp2,18TYM050890\18TYM050890.jp2,18TYM065890\18TYM065890.jp2,18TYM080890\18TYM080890.jp2
mufs190-1952-dpb4h157-i001-001.tif,18TYM050950\18TYM050950.jp2,18TYM065950\18TYM065950.jp2,18TYM080950\18TYM080950.jp2,18TYM050935\18TYM050935.jp2,18TYM065935\18TYM065935.jp2,18TYM080935\18TYM080935.jp2,18TYM050920\18TYM050920.jp2,18TYM065920\18TYM065920.jp2,18TYM080920\18TYM080920.jp2
mufs190-1952-dpb4h158-i001-001.tif,18TYM050965\18TYM050965.jp2,18TYM065965\18TYM065965.jp2,18TYM080965\18TYM080965.jp2,18TYM050950\18TYM050950.jp2,18TYM065950\18TYM065950.jp2,18TYM080950\18TYM080950.jp2,18TYM050935\18TYM050935.jp2,18TYM065935\18TYM065935.jp2,18TYM080935\18TYM080935.jp2
mufs190-1952-dpb4h159-i001-001.tif,18TYM050980\18TYM050980.jp2,18TYM065980\18TYM065980.jp2,18TYM080980\18TYM080980.jp2,18TYM050965\18TYM050965.jp2,18TYM065965\18TYM065965.jp2,18TYM080965\18TYM080965.jp2,18TYM050950\18TYM050950.jp2,18TYM065950\18TYM065950.jp2,18TYM080950\18TYM080950.jp2
mufs190-1952-dpb4h160-i001-001.tif,18TYM050995\18TYM050995.jp2,18TYM065995\18TYM065995.jp2,18TYM080995\18TYM080995.jp2,18TYM050980\18TYM050980.jp2,18TYM065980\18TYM065980.jp2,18TYM080980\18TYM080980.jp2,18TYM050965\18TYM050965.jp2,18TYM065965\18TYM065965.jp2,18TYM080965\18TYM080965.jp2
